class index,filepaths,labels,card type,data set
1,augmented/train/king of clubs/001_rot270_clean.png,king of clubs,king,augmented_train
3,augmented/train/jack of spades/001_rot180_clean.png,jack of spades,jack,augmented_train
6,augmented/train/three of spades/001_rot180_clean.png,three of spades,three,augmented_train
0,augmented/train/eight of spades/001_rot180_noisy.png,eight of spades,eight,augmented_train
2,augmented/train/jack of hearts/001_rot90_noisy.png,jack of hearts,jack,augmented_train
10,augmented/train/ten of spades/001_rot180_noisy.png,ten of spades,ten,augmented_train
7,augmented/train/jack of clubs/001_rot270_clean.png,jack of clubs,jack,augmented_train
0,augmented/train/eight of spades/002_rot270_noisy.png,eight of spades,eight,augmented_train
18,augmented/train/nine of spades/001_rot90_clean.png,nine of spades,nine,augmented_train
2,augmented/train/jack of hearts/002_rot180_noisy.png,jack of hearts,jack,augmented_train
9,augmented/train/four of hearts/001_rot180_noisy.png,four of hearts,four,augmented_train
19,augmented/train/ace of hearts/001_rot270_clean.png,ace of hearts,ace,augmented_train
11,augmented/train/four of diamonds/001_rot90_noisy.png,four of diamonds,four,augmented_train
14,augmented/train/ten of diamonds/001_rot180_clean.png,ten of diamonds,ten,augmented_train
16,augmented/train/six of hearts/001_rot270_clean.png,six of hearts,six,augmented_train
4,augmented/train/ace of spades/001_rot180_noisy.png,ace of spades,ace,augmented_train
9,augmented/train/four of hearts/002_rot90_clean.png,four of hearts,four,augmented_train
15,augmented/train/king of spades/001_rot90_clean.png,king of spades,king,augmented_train
13,augmented/train/eight of hearts/001_rot180_noisy.png,eight of hearts,eight,augmented_train
5,augmented/train/five of diamonds/001_rot270_noisy.png,five of diamonds,five,augmented_train
17,augmented/train/two of spades/001_rot270_clean.png,two of spades,two,augmented_train
12,augmented/train/five of hearts/001_rot90_clean.png,five of hearts,five,augmented_train
20,augmented/train/nine of hearts/001_rot90_noisy.png,nine of hearts,nine,augmented_train
22,augmented/train/king of diamonds/001_rot90_clean.png,king of diamonds,king,augmented_train
21,augmented/train/joker/001_rot180_noisy.png,joker,joker,augmented_train
25,augmented/train/four of spades/001_rot180_clean.png,four of spades,four,augmented_train
26,augmented/train/ten of clubs/001_rot180_clean.png,ten of clubs,ten,augmented_train
18,augmented/train/nine of spades/002_rot180_clean.png,nine of spades,nine,augmented_train
27,augmented/train/seven of hearts/001_rot90_clean.png,seven of hearts,seven,augmented_train
8,augmented/train/eight of diamonds/001_rot90_noisy.png,eight of diamonds,eight,augmented_train
23,augmented/train/jack of diamonds/001_rot90_noisy.png,jack of diamonds,jack,augmented_train
7,augmented/train/jack of clubs/002_rot180_noisy.png,jack of clubs,jack,augmented_train
24,augmented/train/queen of hearts/001_rot180_noisy.png,queen of hearts,queen,augmented_train
18,augmented/train/nine of spades/003_rot90_noisy.png,nine of spades,nine,augmented_train
29,augmented/train/three of diamonds/001_rot180_clean.png,three of diamonds,three,augmented_train
0,augmented/train/eight of spades/004_rot180_clean.png,eight of spades,eight,augmented_train
30,augmented/train/queen of spades/001_rot90_clean.png,queen of spades,queen,augmented_train
0,augmented/train/eight of spades/003_rot90_clean.png,eight of spades,eight,augmented_train
35,augmented/train/two of hearts/001_rot270_clean.png,two of hearts,two,augmented_train
31,augmented/train/nine of clubs/001_rot90_noisy.png,nine of clubs,nine,augmented_train
18,augmented/train/nine of spades/004_rot180_clean.png,nine of spades,nine,augmented_train
16,augmented/train/six of hearts/002_rot180_clean.png,six of hearts,six,augmented_train
17,augmented/train/two of spades/002_rot90_noisy.png,two of spades,two,augmented_train
36,augmented/train/eight of clubs/001_rot180_clean.png,eight of clubs,eight,augmented_train
7,augmented/train/jack of clubs/003_rot270_clean.png,jack of clubs,jack,augmented_train
28,augmented/train/two of diamonds/001_rot270_noisy.png,two of diamonds,two,augmented_train
37,augmented/train/seven of spades/001_rot270_noisy.png,seven of spades,seven,augmented_train
32,augmented/train/queen of diamonds/001_rot180_clean.png,queen of diamonds,queen,augmented_train
22,augmented/train/king of diamonds/002_rot270_clean.png,king of diamonds,king,augmented_train
33,augmented/train/four of clubs/001_rot270_clean.png,four of clubs,four,augmented_train
4,augmented/train/ace of spades/002_rot270_clean.png,ace of spades,ace,augmented_train
25,augmented/train/four of spades/002_rot180_clean.png,four of spades,four,augmented_train
26,augmented/train/ten of clubs/002_rot180_clean.png,ten of clubs,ten,augmented_train
14,augmented/train/ten of diamonds/002_rot270_noisy.png,ten of diamonds,ten,augmented_train
6,augmented/train/three of spades/002_rot180_clean.png,three of spades,three,augmented_train
24,augmented/train/queen of hearts/002_rot90_clean.png,queen of hearts,queen,augmented_train
23,augmented/train/jack of diamonds/002_rot180_noisy.png,jack of diamonds,jack,augmented_train
39,augmented/train/five of clubs/001_rot180_clean.png,five of clubs,five,augmented_train
34,augmented/train/three of hearts/001_rot180_noisy.png,three of hearts,three,augmented_train
30,augmented/train/queen of spades/002_rot270_noisy.png,queen of spades,queen,augmented_train
17,augmented/train/two of spades/004_rot270_clean.png,two of spades,two,augmented_train
36,augmented/train/eight of clubs/002_rot180_noisy.png,eight of clubs,eight,augmented_train
17,augmented/train/two of spades/003_rot180_noisy.png,two of spades,two,augmented_train
11,augmented/train/four of diamonds/002_rot90_noisy.png,four of diamonds,four,augmented_train
25,augmented/train/four of spades/003_rot270_noisy.png,four of spades,four,augmented_train
39,augmented/train/five of clubs/002_rot270_noisy.png,five of clubs,five,augmented_train
40,augmented/train/three of clubs/001_rot90_clean.png,three of clubs,three,augmented_train
38,augmented/train/six of spades/001_rot270_noisy.png,six of spades,six,augmented_train
41,augmented/train/six of diamonds/001_rot270_noisy.png,six of diamonds,six,augmented_train
8,augmented/train/eight of diamonds/002_rot180_clean.png,eight of diamonds,eight,augmented_train
4,augmented/train/ace of spades/003_rot180_clean.png,ace of spades,ace,augmented_train
33,augmented/train/four of clubs/002_rot270_clean.png,four of clubs,four,augmented_train
18,augmented/train/nine of spades/005_rot180_clean.png,nine of spades,nine,augmented_train
19,augmented/train/ace of hearts/002_rot270_clean.png,ace of hearts,ace,augmented_train
1,augmented/train/king of clubs/002_rot90_clean.png,king of clubs,king,augmented_train
19,augmented/train/ace of hearts/003_rot270_noisy.png,ace of hearts,ace,augmented_train
0,augmented/train/eight of spades/005_rot270_clean.png,eight of spades,eight,augmented_train
9,augmented/train/four of hearts/003_rot270_noisy.png,four of hearts,four,augmented_train
0,augmented/train/eight of spades/006_rot270_noisy.png,eight of spades,eight,augmented_train
43,augmented/train/six of clubs/001_rot90_clean.png,six of clubs,six,augmented_train
31,augmented/train/nine of clubs/002_rot90_clean.png,nine of clubs,nine,augmented_train
18,augmented/train/nine of spades/006_rot180_noisy.png,nine of spades,nine,augmented_train
42,augmented/train/seven of diamonds/001_rot180_noisy.png,seven of diamonds,seven,augmented_train
19,augmented/train/ace of hearts/004_rot90_clean.png,ace of hearts,ace,augmented_train
44,augmented/train/ten of hearts/001_rot270_noisy.png,ten of hearts,ten,augmented_train
27,augmented/train/seven of hearts/002_rot180_noisy.png,seven of hearts,seven,augmented_train
45,augmented/train/king of hearts/001_rot180_noisy.png,king of hearts,king,augmented_train
43,augmented/train/six of clubs/002_rot180_clean.png,six of clubs,six,augmented_train
39,augmented/train/five of clubs/003_rot180_clean.png,five of clubs,five,augmented_train
33,augmented/train/four of clubs/003_rot90_noisy.png,four of clubs,four,augmented_train
6,augmented/train/three of spades/003_rot90_noisy.png,three of spades,three,augmented_train
38,augmented/train/six of spades/002_rot180_noisy.png,six of spades,six,augmented_train
47,augmented/train/five of spades/001_rot180_clean.png,five of spades,five,augmented_train
0,augmented/train/eight of spades/007_rot90_noisy.png,eight of spades,eight,augmented_train
5,augmented/train/five of diamonds/002_rot180_clean.png,five of diamonds,five,augmented_train
27,augmented/train/seven of hearts/003_rot270_clean.png,seven of hearts,seven,augmented_train
19,augmented/train/ace of hearts/005_rot180_clean.png,ace of hearts,ace,augmented_train
20,augmented/train/nine of hearts/002_rot270_noisy.png,nine of hearts,nine,augmented_train
46,augmented/train/ace of diamonds/001_rot90_clean.png,ace of diamonds,ace,augmented_train
13,augmented/train/eight of hearts/002_rot180_clean.png,eight of hearts,eight,augmented_train
