Clase,Precision,Recall,F1_score,Accuracy,AUC_ROC
jack of spades,0.71,1.0,0.83,0.99,1.0
three of hearts,0.83,1.0,0.91,1.0,1.0
ten of clubs,0.83,1.0,0.91,1.0,1.0
two of clubs,1.0,0.8,0.89,1.0,0.9
six of hearts,1.0,0.6,0.75,0.99,0.8
eight of diamonds,1.0,1.0,1.0,1.0,1.0
three of diamonds,1.0,1.0,1.0,1.0,1.0
nine of spades,0.67,0.8,0.73,0.99,0.9
seven of spades,1.0,1.0,1.0,1.0,1.0
jack of diamonds,0.83,1.0,0.91,1.0,1.0
two of spades,1.0,0.6,0.75,0.99,0.8
king of spades,1.0,1.0,1.0,1.0,1.0
six of diamonds,0.71,1.0,0.83,0.99,1.0
eight of clubs,0.56,1.0,0.71,0.98,0.99
two of hearts,1.0,0.6,0.75,0.99,0.8
seven of diamonds,1.0,1.0,1.0,1.0,1.0
jack of hearts,0.75,0.6,0.67,0.99,0.8
three of spades,1.0,0.6,0.75,0.99,0.8
ace of spades,0.71,1.0,0.83,0.99,1.0
ace of hearts,1.0,0.8,0.89,1.0,0.9
ace of clubs,1.0,1.0,1.0,1.0,1.0
king of hearts,0.75,0.6,0.67,0.99,0.8
six of spades,1.0,1.0,1.0,1.0,1.0
king of diamonds,0.83,1.0,0.91,1.0,1.0
nine of hearts,1.0,0.8,0.89,1.0,0.9
seven of clubs,0.71,1.0,0.83,0.99,1.0
two of diamonds,1.0,1.0,1.0,1.0,1.0
queen of spades,1.0,0.8,0.89,1.0,0.9
ace of diamonds,0.83,1.0,0.91,1.0,1.0
eight of spades,1.0,1.0,1.0,1.0,1.0
four of diamonds,1.0,1.0,1.0,1.0,1.0
queen of clubs,0.5,0.4,0.44,0.98,0.7
four of hearts,1.0,1.0,1.0,1.0,1.0
five of hearts,1.0,0.8,0.89,1.0,0.9
ten of diamonds,1.0,1.0,1.0,1.0,1.0
ten of spades,1.0,0.8,0.89,1.0,0.9
seven of hearts,1.0,1.0,1.0,1.0,1.0
eight of hearts,1.0,0.8,0.89,1.0,0.9
four of spades,1.0,0.6,0.75,0.99,0.8
king of clubs,0.56,1.0,0.71,0.98,0.99
three of clubs,0.6,0.6,0.6,0.98,0.8
five of diamonds,1.0,1.0,1.0,1.0,1.0
four of clubs,1.0,0.8,0.89,1.0,0.9
queen of hearts,1.0,0.8,0.89,1.0,0.9
nine of clubs,0.83,1.0,0.91,1.0,1.0
five of spades,0.83,1.0,0.91,1.0,1.0
queen of diamonds,0.8,0.8,0.8,0.99,0.9
jack of clubs,0.57,0.8,0.67,0.98,0.89
nine of diamonds,0.67,0.8,0.73,0.99,0.9
ten of hearts,0.8,0.8,0.8,0.99,0.9
six of clubs,1.0,0.4,0.57,0.99,0.7
five of clubs,1.0,0.6,0.75,0.99,0.8
,0.8823076923076922,0.8538461538461537,0.8519230769230769,0.9948076923076925,0.9263461538461537
