Clase,Precision,Recall,F1_score,Accuracy,AUC_ROC
jack of spades,1.0,1.0,1.0,1.0,1.0
three of hearts,1.0,1.0,1.0,1.0,1.0
ten of clubs,1.0,0.8,0.89,1.0,0.9
two of clubs,1.0,1.0,1.0,1.0,1.0
six of hearts,1.0,0.8,0.89,1.0,0.9
eight of diamonds,1.0,1.0,1.0,1.0,1.0
three of diamonds,1.0,1.0,1.0,1.0,1.0
nine of spades,1.0,0.8,0.89,1.0,0.9
seven of spades,1.0,1.0,1.0,1.0,1.0
jack of diamonds,1.0,1.0,1.0,1.0,1.0
two of spades,1.0,0.8,0.89,1.0,0.9
king of spades,1.0,1.0,1.0,1.0,1.0
six of diamonds,1.0,1.0,1.0,1.0,1.0
eight of clubs,1.0,1.0,1.0,1.0,1.0
two of hearts,0.83,1.0,0.91,1.0,1.0
seven of diamonds,1.0,1.0,1.0,1.0,1.0
jack of hearts,1.0,1.0,1.0,1.0,1.0
three of spades,1.0,1.0,1.0,1.0,1.0
ace of spades,1.0,1.0,1.0,1.0,1.0
ace of hearts,1.0,1.0,1.0,1.0,1.0
ace of clubs,1.0,1.0,1.0,1.0,1.0
king of hearts,1.0,1.0,1.0,1.0,1.0
six of spades,0.71,1.0,0.83,0.99,1.0
king of diamonds,1.0,1.0,1.0,1.0,1.0
nine of hearts,1.0,1.0,1.0,1.0,1.0
seven of clubs,1.0,1.0,1.0,1.0,1.0
two of diamonds,1.0,1.0,1.0,1.0,1.0
queen of spades,1.0,1.0,1.0,1.0,1.0
ace of diamonds,1.0,1.0,1.0,1.0,1.0
eight of spades,1.0,1.0,1.0,1.0,1.0
four of diamonds,1.0,1.0,1.0,1.0,1.0
queen of clubs,1.0,1.0,1.0,1.0,1.0
four of hearts,1.0,1.0,1.0,1.0,1.0
five of hearts,1.0,1.0,1.0,1.0,1.0
ten of diamonds,1.0,1.0,1.0,1.0,1.0
ten of spades,0.83,1.0,0.91,1.0,1.0
seven of hearts,1.0,1.0,1.0,1.0,1.0
eight of hearts,0.83,1.0,0.91,1.0,1.0
four of spades,1.0,1.0,1.0,1.0,1.0
king of clubs,1.0,1.0,1.0,1.0,1.0
three of clubs,1.0,1.0,1.0,1.0,1.0
five of diamonds,1.0,1.0,1.0,1.0,1.0
four of clubs,0.83,1.0,0.91,1.0,1.0
queen of hearts,1.0,1.0,1.0,1.0,1.0
nine of clubs,1.0,1.0,1.0,1.0,1.0
five of spades,1.0,0.8,0.89,1.0,0.9
queen of diamonds,1.0,1.0,1.0,1.0,1.0
jack of clubs,1.0,1.0,1.0,1.0,1.0
nine of diamonds,1.0,1.0,1.0,1.0,1.0
ten of hearts,1.0,1.0,1.0,1.0,1.0
six of clubs,1.0,0.8,0.89,1.0,0.9
five of clubs,1.0,1.0,1.0,1.0,1.0
,0.9813461538461539,0.9769230769230769,0.9771153846153846,0.9998076923076924,0.9884615384615384
